Rank 39970: 951 - [11572, 5254, 1473] - HP: 207898, STR: 276645, VIT: 1676, SPD: 56, LUK: 1, Attack: 362458, Defense: 91454, Current HP: 207898, A Avg: 380580, D Avg: 109744, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 530, 530, 630], Mobius Ring[316, 630, 630, 806]]
Rank 39987: 1996 - [11170, 6477, 652] - HP: 84797, STR: 153704, VIT: 170060, SPD: 56, LUK: 1, Attack: 241532, Defense: 257888, Current HP: 84797, A Avg: 253608, D Avg: 257888, [Stargazer[183, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Obsidian Ring[320, 730, 730, 66]]
Rank 39987: 2046 - [11170, 6477, 652] - HP: 84797, STR: 153704, VIT: 170060, SPD: 56, LUK: 1, Attack: 241532, Defense: 257888, Current HP: 84797, A Avg: 253608, D Avg: 257888, [Stargazer[183, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Obsidian Ring[320, 730, 730, 807]]
Rank 39989: 2427 - [11416, 5741, 1142] - HP: 50294, STR: 255391, VIT: 117154, SPD: 63, LUK: 1, Attack: 343273, Defense: 204982, Current HP: 50294, A Avg: 432523, D Avg: 204982, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Seal of the High King[319, 730, 730, 67]]
Rank 39989: 2437 - [11416, 5741, 1142] - HP: 50294, STR: 255391, VIT: 117154, SPD: 63, LUK: 1, Attack: 343273, Defense: 204982, Current HP: 50294, A Avg: 429091, D Avg: 204982, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Seal of the High King[319, 730, 730, 68]]
Rank 40000: 7929 - [11311, 6067, 921] - HP: 1292, STR: 162894, VIT: 103990, SPD: 56, LUK: 2, Attack: 255080, Defense: 193768, Current HP: 1292, A Avg: 274211, D Avg: 193768, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 730, 730], Tears of the Dragon[307, 730, 66, 803]]
Rank 40003: 1971 - [11435, 5698, 1166] - HP: 85804, STR: 366609, VIT: 70220, SPD: 56, LUK: 1, Attack: 452422, Defense: 159998, Current HP: 85804, A Avg: 475043, D Avg: 191997, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 730, 730, 806]]
Rank 40017: 3019 - [11222, 6351, 726] - HP: 1292, STR: 122196, VIT: 172534, SPD: 56, LUK: 2, Attack: 214382, Defense: 262312, Current HP: 1292, A Avg: 225101, D Avg: 262312, [Big Bang[171, 630, 630, 630], Blank Shield[244, 730, 730, 730], Tears of the Dragon[307, 730, 730, 66]]
Rank 40017: 3069 - [11222, 6351, 726] - HP: 1292, STR: 122196, VIT: 172534, SPD: 56, LUK: 2, Attack: 214382, Defense: 262312, Current HP: 1292, A Avg: 225101, D Avg: 262312, [Big Bang[171, 630, 630, 630], Blank Shield[244, 730, 730, 730], Tears of the Dragon[307, 730, 730, 807]]
Rank 40031: 2026 - [11177, 6500, 622] - HP: 84797, STR: 153704, VIT: 170060, SPD: 56, LUK: 1, Attack: 241532, Defense: 257888, Current HP: 84797, A Avg: 259646, D Avg: 257888, [Stargazer[183, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Obsidian Ring[320, 730, 730, 803]]
Rank 40034: 1539 - [11969, 4127, 2203] - HP: 123386, STR: 162894, VIT: 35446, SPD: 56, LUK: 2, Attack: 255080, Defense: 125224, Current HP: 123386, A Avg: 318850, D Avg: 125224, [Big Bang[171, 530, 530, 530], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 630, 730, 68]]
Rank 40034: 8049 - [11309, 6107, 883] - HP: 1292, STR: 162894, VIT: 103990, SPD: 56, LUK: 2, Attack: 255080, Defense: 193768, Current HP: 1292, A Avg: 267834, D Avg: 271275, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 730, 730], Tears of the Dragon[307, 730, 806, 807]]
Rank 40040: 249 - [11537, 5429, 1333] - HP: 123386, STR: 122196, VIT: 103990, SPD: 56, LUK: 2, Attack: 214382, Defense: 193768, Current HP: 123386, A Avg: 225101, D Avg: 193768, [Big Bang[171, 530, 530, 530], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 730, 730, 730]]
Rank 40046: 8231 - [11372, 5930, 997] - HP: 4408, STR: 186681, VIT: 173036, SPD: 56, LUK: 1, Attack: 272494, Defense: 262814, Current HP: 4408, A Avg: 286118, D Avg: 315376, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 66, 806]]
Rank 40046: 8241 - [11372, 5930, 997] - HP: 4408, STR: 186681, VIT: 173036, SPD: 56, LUK: 1, Attack: 272494, Defense: 262814, Current HP: 4408, A Avg: 286118, D Avg: 262814, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 66, 807]]
